1 0,0000000__ 0,0000000  1 -81,4236700__ 64,7868300  -0,0300092__ -0,0284917
1 43,3526000__ -31,7919100  2 43,3526000__ -31,7919100  -0,0224862__ -0,0227624
1 0,0000000__ 0,0000000  3 0,0000000__ 0,0000000  -0,0150000__ -0,0150000
1 0,0000000__ 0,0000000  4 0,0000000__ 0,0000000  -0,0225138__ -0,0222376
1 38,0710700__ -32,9949200  5 38,0710700__ -32,9949200  0,0000000__ 0,0000000
1 0,0000000__ 0,0000000  6 0,0000000__ 0,0000000  -0,0300092__ -0,0284917
2 0,0000000__ 0,0000000  1 43,3526000__ -31,7919100  -0,0224862__ -0,0227624
2 0,0000000__ 0,0000000  2 -76,6859400__ 65,1252400  -0,0262707__ -0,0258564
2 33,3333300__ -33,3333300  3 33,3333300__ -33,3333300  -0,0150000__ -0,0150000
2 0,0000000__ 0,0000000  4 0,0000000__ 0,0000000  -0,0187293__ -0,0191436
2 0,0000000__ 0,0000000  5 0,0000000__ 0,0000000  0,0000000__ 0,0000000
2 0,0000000__ 0,0000000  6 0,0000000__ 0,0000000  -0,0224862__ -0,0227624
3 0,0000000__ 0,0000000  1 0,0000000__ 0,0000000  -0,0150000__ -0,0150000
3 0,0000000__ 0,0000000  2 33,3333300__ -33,3333300  -0,0150000__ -0,0150000
3 0,0000000__ 0,0000000  3 -100,0000000__ 100,0000000  -0,0150000__ -0,0150000
3 33,3333300__ -33,3333300  4 0,0000000__ 0,0000000  -0,0150000__ -0,0150000
3 33,3333300__ -33,3333300  5 33,3333300__ -33,3333300  0,0000000__ 0,0000000
3 0,0000000__ 0,0000000  6 0,0000000__ 0,0000000  -0,0150000__ -0,0150000
4 0,0000000__ 0,0000000  1 0,0000000__ 0,0000000  -0,0225138__ -0,0222376
4 0,0000000__ 0,0000000  2 0,0000000__ 0,0000000  -0,0187293__ -0,0191436
4 0,0000000__ 0,0000000  3 0,0000000__ 0,0000000  -0,0150000__ -0,0150000
4 0,0000000__ 0,0000000  4 0,0000000__ 0,0000000  -0,0262707__ -0,0258564
4 0,0000000__ 0,0000000  5 0,0000000__ 0,0000000  0,0000000__ 0,0000000
4 0,0000000__ -1000,0000000  6 0,0000000__ 0,0000000  -0,0225138__ -0,0222376
5 0,0000000__ 0,0000000  1 38,0710700__ -32,9949200  0,0000000__ 0,0000000
5 0,0000000__ 0,0000000  2 0,0000000__ 0,0000000  0,0000000__ 0,0000000
5 0,0000000__ 0,0000000  3 33,3333300__ -33,3333300  0,0000000__ 0,0000000
5 0,0000000__ 0,0000000  4 0,0000000__ 0,0000000  0,0000000__ 0,0000000
5 0,0000000__ 0,0000000  5 -71,4044000__ 66,3282600  0,0000000__ -0,0010000
5 0,0000000__ 0,0000000  6 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  1 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  2 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  3 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  4 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  5 0,0000000__ 0,0000000  0,0000000__ 0,0000000
6 0,0000000__ 0,0000000  6 0,0000000__ 1000,0000000  0,0000000__ 0,0000000
