–езультаты-узлы
11
11
є;є узла;“ип узла;U;f;Pн;Qн;Pг;Qг;Qmin;Qmax;
1;444;1;329,9394;0,0000;100,0000;100,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
2;330;0;330,0000;0,0000;0,0000;0,0000;-103,5410;219,0921;-9,99999987E14;9,99999987E14;
3;349;2;320,5387;3,4963;0,0000;0,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
4;1349;1;106,3546;2,1677;49,0000;27,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
5;1347;1;104,7724;2,4351;120,0000;113,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
6;1320;4;6,3000;5,6912;120,0000;40,0000;200,0000;103,4925;-9,99999987E14;9,99999987E14;
7;347;2;315,3233;3,0653;0,0000;0,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
8;392;1;303,9813;-9,4199;490,0000;50,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
9;319;1;328,2728;11,5308;822,0000;200,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
10;1319;4;20,5000;18,5369;55,0000;40,0000;1700,0000;618,0028;-9,99999987E14;9,99999987E14;
