–езультаты-узлы
11
11
є;є узла;“ип узла;U;f;Pн;Qн;Pг;Qг;Qmin;Qmax;
1;444;1;329,9101;0,0000;100,0000;100,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
2;330;0;330,0000;0,0000;0,0000;0,0000;-68,2586;653,3703;-9,99999987E14;9,99999987E14;
3;349;2;286,8937;4,9664;0,0000;0,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
4;1349;1;94,5456;2,6296;49,0000;27,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
5;1347;1;95,0988;2,6295;120,0000;113,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
6;1320;4;6,3000;7,7571;120,0000;40,0000;200,0000;229,9785;-9,99999987E14;9,99999987E14;
7;347;2;283,8073;3,9136;0,0000;0,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
8;392;1;210,7164;-26,7429;490,0000;50,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
9;319;1;312,0901;18,6678;822,0000;200,0000;0,0000;0,0000;-9,99999987E14;9,99999987E14;
10;1319;4;20,5000;29,5837;55,0000;40,0000;1700,0000;1387,8475;-9,99999987E14;9,99999987E14;
