Ветви
82
10
№i;№j;№ узла i;№ узла j;Rij;Xij;Gij;Bij;Kтр';Kтр'';
1;16;1;500;0,00000000;10,00000000;0,00000000;0,00000000;;;
2;34;2;810;0,00000000;7,30000000;0,00000000;0,00000000;;;
3;42;3;824;0,00000000;12,20000000;0,00000000;0,00000000;;;
4;28;4;717;0,00000000;10,40000000;0,00000000;0,00000000;;;
5;53;5;913;0,00000000;61,10000000;0,00000000;0,00000000;;;
6;51;6;908;0,00000000;10,20000000;0,00000000;0,00000000;;;
7;52;7;912;0,00000000;61,10000000;0,00000000;0,00000000;;;
8;58;8;921;0,00000000;17,70000000;0,00000000;0,00000000;;;
9;61;9;929;0,00000000;4,60000000;0,00000000;0,00000000;;;
10;62;10;937;0,00000000;5,80000000;0,00000000;0,00000000;;;
11;25;11;714;0,00000000;7,70000000;0,00000000;0,00000000;;;
12;31;12;722;0,00000000;17,00000000;0,00000000;0,00000000;;;
13;48;101;905;0,00000000;79,90000000;0,00000000;0,00000000;;;
14;49;102;906;0,00000000;79,90000000;0,00000000;0,00000000;;;
15;55;103;917;0,00000000;79,90000000;0,00000000;0,00000000;;;
16;34;500;810;0,00000000;70,00000000;0,00000000;0,00000000;;;
16;37;500;814;5,20000000;69,50000000;0,00000000;0.000893;;;
17;18;703;704;3,10000000;39,00000000;0,00000000;0.000460;;;
17;32;703;731;3,10000000;39,00000000;0,00000000;0.000460;;;
18;23;704;710;5,40000000;68,70000000;0,00000000;0.000797;;;
18;28;704;717;5,50000000;70,00000000;0,00000000;0.000825;;;
18;30;704;719;2,30000000;25,00000000;0,00000000;0.000290;;;
18;31;704;722;6,40000000;85,10000000;0,00000000;0.001015;;;
19;21;705;707;0,00000000;40,60000000;0,00000000;0,00000000;0,46950561;0,00000000;
19;22;705;708;0,00000000;27,00000000;0,00000000;0,00000000;2.2701;0,00000000;
19;24;705;712;8,20000000;84,70000000;0,00000000;0.000991;;;
19;32;705;731;5,20000000;55,00000000;0,00000000;0.000650;;;
19;59;705;923;10,30000000;109,00000000;0,00000000;0.001265;;;
20;22;706;708;0,00000000;20,60000000;0,00000000;0,00000000;;;
21;29;707;718;4,02000000;114,00000000;0,00000000;0.001988;;;
21;33;707;760;3,75000000;92,20000000;0,00000000;0.001644;;;
23;24;710;712;0,00000000;19,50000000;0,00000000;0,00000000;;;
23;32;710;731;0,00000000;75,00000000;0,00000000;0,00000000;;;
24;25;712;714;6,60000000;70,10000000;0,00000000;0.003260;;;
25;26;714;715;0,30000000;4,80000000;0,00000000;0.000230;;;
26;27;715;716;1,00000000;12,50000000;0,00000000;.000620;;;
27;28;716;717;4,00000000;42,00000000;0,00000000;0.001950;;;
28;29;717;718;0,00000000;27,10000000;0,00000000;0,00000000;0,46080826;0,00000000;
28;30;717;719;10,20000000;108,00000000;0,00000000;.001260;;;
28;31;717;722;2,90000000;35,50000000;0,00000000;0.000430;;;
33;54;760;914;3,60000000;88,60000000;0,00000000;0.001572;;;
34;35;810;811;6,90000000;66,40000000;0,00000000;0.000842;;;
34;39;810;819;6,00000000;75,00000000;0,00000000;0.0000722;;;
35;36;811;812;7,60000000;89,00000000;0,00000000;0.000911;;;
35;39;811;819;2,00000000;19,20000000;0,00000000;0.000250;;;
36;55;812;917;9,00000000;93,00000000;0,00000000;0.001160;;;
37;38;814;818;7,00000000;98,40000000;0,00000000;0.001862;;;
37;40;814;821;8,80000000;97,60000000;0,00000000;0.001141;;;
38;39;818;819;1,20000000;15,00000000;0,00000000;0.000220;;;
38;43;818;826;0,00000000;40,60000000;0,00000000;0,00000000;0,43480151;0,00000000;
39;42;819;824;3,37000000;45,00000000;0,00000000;0.000605;;;
40;41;821;822;5,75000000;62,50000000;0,00000000;0.000835;;;
40;42;821;824;5,00000000;57,40000000;0,00000000;0.000765;;;
41;44;822;901;10,00000000;10,16000;0,00000000;0.001265;;;
42;50;824;907;4,08000000;46,80000000;0,00000000;0.000625;;;
43;45;826;902;4,00000000;88,00000000;0,00000000;0.001528;;;
44;49;901;906;8,50000000;80,00000000;0,00000000;0.001050;;;
44;50;901;907;0,70000000;6,50000000;0,00000000;0.000352;;;
45;46;902;903;4,28000000;101,80000000;0,00000000;0.001751;;;
45;50;902;907;0,00000000;40,60000000;0,00000000;0,00000000;2,12990000;0,00000000;
46;47;903;904;0,00000000;81,20000000;0,00000000;0,00000000;2,12990000;0,00000000;
46;54;903;914;5,20000000;126,60000000;0,00000000;0.002165;;;
47;55;904;917;5,60000000;51,00000000;0,00000000;0.000680;;;
48;49;905;906;11,50000000;110,00000000;0,00000000;0.001440;;;
48;51;905;908;8,10000000;84,40000000;0,00000000;0.001178;;;
51;52;908;912;0,40000000;4,60000000;0,00000000;0.000574;;;
51;53;908;913;0,40000000;4,60000000;0,00000000;0.000574;;;
51;56;908;918;10,70000000;114,00000000;0,00000000;0.001330;;;
51;58;908;921;0,32000000;36,00000000;0,00000000;0.000490;;;
51;62;908;937;0,00000000;29,60000000;0,00000000;0,00000000;2,17010000;0,00000000;
52;54;912;914;0,00000000;81,20000000;0,00000000;0,00000000;0,43480151;0,00000000;
53;54;913;914;0,00000000;81,20000000;0,00000000;0,00000000;0,43480151;0,00000000;
55;56;917;918;8,80000000;83,00000000;0,00000000;0.001110;;;
56;57;918;920;4,06000000;41,20000000;0,00000000;0.00055;;;
57;58;920;921;6,60000000;66,60000000;0,00000000;0.00089;;;
58;59;921;923;10,90000000;99,30000000;0,00000000;0.001260;;;
58;61;921;929;0,00000000;61,30000000;0,00000000;0,00000000;2,17010000;0,00000000;
59;60;923;924;4,30000000;46,00000000;0,00000000;.000540;;;
59;63;923;944;0,00000000;67,30000000;0,00000000;0,00000000;;;
60;63;924;944;0,00000000;86,80000000;0,00000000;0,00000000;;;
61;62;929;937;8,00000000;31,00000000;0,00000000;0.000822;;;
