Óçëû
64
12
¹;¹ óçëà;Òèï óçëà;Uíîì;Pí;Qí;Pã;Qã;Gø;Bø;Qmin;Qmax;
1;1;0;530,0000;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
2;2;4;540,0000;0;0,0000;3000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
3;3;4;525,0000;0;0,0000;1955;0,0000;0,00000000;0,00000000;0,0000;0,0000;
4;4;4;500,0000;0;0,0000;2400;0,0000;0,00000000;0,00000000;0,0000;0,0000;
5;5;4;525,0000;0;0,0000;500;0,0000;0,00000000;0,00000000;0,0000;0,0000;
6;6;4;525,0000;0;0,0000;2400;0,0000;0,00000000;0,00000000;0,0000;0,0000;
7;7;4;525,0000;0;0,0000;500;0,0000;0,00000000;0,00000000;0,0000;0,0000;
8;8;4;525,0000;0;0,0000;1000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
9;9;4;242;0;0,0000;1200;0,0000;0,00000000;0,00000000;0,0000;0,0000;
10;10;4;242;0;0,0000;500;0,0000;0,00000000;0,00000000;0,0000;0,0000;
11;11;4;510,0000;0;0,0000;4480;0,0000;0,00000000;0,00000000;0,0000;0,0000;
12;12;4;525,0000;2670;925,0000;1500;0,0000;0,00000000;0,00000000;0,0000;0,0000;
13;101;2;500;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
14;102;2;500;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
15;103;2;500;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
16;500;2;524,0100;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
17;703;1;519.34;241,0000;114,5000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
18;704;1;517.43;541,0000;232,8000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
19;705;1;533.43;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
20;706;4;242,0000;1190;660,0000;1619;0,0000;0,00000000;0,00000000;0,0000;0,0000;
21;707;2;1138.4;0,0000;0,0000;0,0000;0,0000;0,00000000;0.001875;0,0000;0,0000;
22;708;1;231,9600;477,0000;213,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
23;710;1;520,3700;32,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
24;712;1;517,5100;295,0000;196,7000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
25;714;2;505,1300;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
26;715;1;500,5200;1005,0000;400,4000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
27;716;1;501,0600;535,0000;150,3000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
28;717;1;512,4100;120,0000;61,5000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
29;718;2;1124,8000;0,0000;0,0000;0,0000;0,0000;0,00000000;0.000625;0,0000;0,0000;
30;719;1;510,6300;642,0000;249,2000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
31;722;2;519,7700;0,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
32;731;1;522,1300;272,0000;197,4000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
33;760;2;1173.4;0,0000;0,0000;0,0000;0,0000;0,00000000;0.001250;0,0000;0,0000;
34;810;1;524,1200;2460,0000;733,8000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
35;811;1;505.62;1000,0000;242,7000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
36;812;1;525.88;487,0000;26,3000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
37;814;1;507.09;658,0000;273,8000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
38;818;1;503.78;850,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
39;819;1;502.39;1059,0000;405,9000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
40;821;1;497.0;850,0000;516,9000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
41;822;1;508.37;567,0000;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
42;824;1;514.83;1062,0000;427,3000;0,0000;0,0000;0,00000000;0,00000000;0,0000;0,0000;
43;826;2;1151.2;0,0000;0,0000;0,0000;0,0000;0,00000000;0.000625;0,0000;0,0000;
44;901;1;517.77;707,0000;503,3000;0,0000;0,0000;0,00000000;0.000653;0,0000;0,0000;
45;902;2;1126.4;0,0000;0,0000;0,0000;0,0000;0,00000000;0.001250;0,0000;0,0000;
46;903;2;1115.6;0,0000;0,0000;0,0000;0,0000;0,00000000;0.001875;0,0000;0,0000;
