”злы-дополнительно
64
13
є;є узла;A0;A1;A2;B0;B1;B2;dPн;dQн;dPг;;;
1;1;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
2;2;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
3;3;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
4;4;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
5;5;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
6;6;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
7;7;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
8;8;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
9;9;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
10;10;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
11;11;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
12;12;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1;;;
13;101;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
14;102;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
15;103;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
16;500;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
17;703;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
18;704;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
19;705;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
20;706;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
21;707;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
22;708;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
23;710;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
24;712;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
25;714;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
26;715;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
27;716;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
28;717;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
29;718;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
30;719;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
31;722;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
32;731;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
33;760;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
34;810;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
35;811;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
36;812;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
37;814;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
38;818;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
39;819;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
40;821;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
41;822;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
42;824;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
43;826;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
44;901;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
45;902;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
46;903;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
47;904;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
48;905;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
49;906;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
50;907;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
51;908;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
52;912;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
53;913;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
54;914;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
55;917;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
56;918;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
57;920;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
